,distance,real,ambient,object
12,0.6,0,26.57,23.87
150,0.08,0,26.07,5.95
153,0.02,0,25.61,-7.99
114,0.08,0,25.59,6.11
111,0.25,0,25.67,21.67
88,0.6,0,25.77,24.99
41,0.02,0,26.01,-6.22
27,0.25,0,25.81,19.63
35,0.25,0,25.85,20.23
1,0.02,0,25.81,-5.01
30,0.08,0,25.69,-0.27
45,0.02,0,25.71,-4.22
5,0.02,0,25.61,-4.19
135,0.25,0,25.63,20.89
48,0.6,0,25.57,24.95
82,0.08,0,25.73,4.15
98,0.08,0,25.73,4.81
68,0.6,0,25.75,24.99
28,0.6,0,25.85,25.07
93,0.02,0,25.83,-5.19
131,0.25,0,25.85,20.01
84,0.6,0,25.93,24.35
34,0.08,0,25.91,-2.67
31,0.25,0,25.93,20.11
29,0.02,0,25.91,-4.6
51,0.25,0,25.77,20.03
109,0.02,0,25.81,-3.44
134,0.08,0,25.71,2.73
62,0.08,0,25.67,3.29
40,0.6,0,26.35,25.05
125,0.02,0,26.29,-4.41
17,0.02,0,26.25,-4.85
105,0.02,0,26.25,-4.37
8,0.6,0,26.19,25.35
85,0.02,0,26.19,-3.35
119,0.25,0,26.13,22.57
73,0.02,0,26.11,-2.19
53,0.02,0,26.13,-2.75
160,0.6,0,26.05,25.35
81,0.02,0,26.11,-8.03
11,0.25,0,25.95,21.33
15,0.25,0,25.97,22.53
42,0.08,0,26.01,7.05
110,0.08,0,25.95,4.63
76,0.6,0,25.99,25.31
74,0.08,0,26.09,1.95
26,0.08,0,26.11,3.65
3,0.25,0,26.07,25.29
146,0.08,0,26.11,4.45
9,0.02,0,26.01,-6.81
71,0.25,0,25.99,21.79
94,0.08,0,26.05,4.75
130,0.08,0,25.93,4.71
147,0.25,0,26.01,21.55
66,0.08,0,25.99,4.69
108,0.6,0,26.31,25.55
50,0.08,0,26.25,7.33
140,0.6,0,26.17,25.73
77,0.02,0,26.25,-1.79
24,0.6,0,26.19,25.53
44,0.6,0,26.19,25.47
67,0.25,0,26.29,23.23
37,0.02,0,25.95,0.95
139,0.25,0,26.25,25.85
155,0.25,0,26.25,22.87
49,0.02,0,25.99,0.87
128,0.6,0,26.09,25.47
20,0.6,0,26.05,25.47
132,0.6,0,26.07,25.53
21,0.02,0,26.13,-5.47
6,0.08,0,26.05,4.31
2,0.08,0,25.99,4.07
123,0.25,0,26.01,21.15
14,0.08,0,25.97,4.87
65,0.02,0,26.05,-2.83
107,0.25,0,25.99,21.05
158,0.08,0,26.05,8.87
86,0.08,0,25.99,8.55
63,0.25,0,26.04,21.83
103,0.25,0,26.01,21.85
32,0.6,0,26.47,24.77
138,0.08,0,26.45,4.59
22,0.08,0,26.39,4.47
55,0.25,0,26.41,21.49
92,0.6,0,26.39,25.25
13,0.02,0,26.36,-6.59
90,0.08,0,26.25,6.93
69,0.02,0,26.17,-6.19
121,0.02,0,26.29,-6.39
18,0.08,0,26.25,6.69
54,0.08,0,26.11,6.03
143,0.25,0,26.15,22.37
96,0.6,0,26.17,25.53
159,0.25,0,26.17,22.13
133,0.02,0,26.17,-3.17
19,0.25,0,26.19,23.17
148,0.6,0,26.19,25.49
106,0.08,0,26.11,9.39
104,0.6,0,26.17,25.49
33,0.02,0,26.17,-1.67
101,0.02,0,26.15,-1.99
79,0.25,0,26.13,22.87
36,0.6,0,26.17,25.47
144,0.6,0,26.13,25.47
10,0.08,0,26.17,4.23
156,0.6,0,26.22,25.54
122,0.08,0,26.17,3.93
129,0.02,0,26.21,-6.53
56,0.6,0,26.17,25.41
16,0.6,0,26.21,25.37
78,0.08,0,26.13,8.45
89,0.02,0,25.97,-0.45
72,0.6,0,25.87,24.85
64,0.6,0,25.91,24.89
126,0.08,0,25.97,9.25
91,0.25,0,25.99,21.11
7,0.25,0,25.95,22.01
4,0.6,0,25.97,25.47
75,0.25,0,25.97,21.99
57,0.02,0,26.05,1.89
157,0.02,0,26.01,1.97
136,0.6,0,26.01,25.67
59,0.25,0,26.31,20.87
39,0.25,0,26.29,20.77
52,0.6,0,26.29,24.93
116,0.6,0,26.29,24.99
38,0.08,0,26.23,6.75
152,0.6,0,26.19,25.47
70,0.08,0,26.21,7.33
118,0.08,0,26.19,6.83
58,0.08,0,26.23,6.73
83,0.25,0,26.21,22.31
60,0.6,0,26.21,25.47
124,0.6,0,26.25,25.47
145,0.02,0,26.23,-2.33
137,0.02,0,26.21,-2.03
113,0.02,0,26.17,-1.75
141,0.02,0,26.25,-1.91
97,0.02,0,26.17,-2.03
61,0.02,0,26.21,-1.71
102,0.08,0,26.15,8.71
120,0.6,0,26.17,25.53
117,0.02,0,26.23,1.99
149,0.02,0,26.21,-1.03
112,0.6,0,26.19,25.41
142,0.08,0,26.17,9.11
99,0.25,0,26.23,22.89
46,0.08,0,26.17,9.15
23,0.25,0,26.23,22.95
127,0.25,0,26.21,23.69
47,0.25,0,26.21,22.93
100,0.6,0,26.29,24.17
115,0.25,0,26.31,22.93
80,0.6,0,26.33,24.11
43,0.25,0,26.33,20.27
25,0.02,0,26.33,1.55
87,0.25,0,26.29,20.77
95,0.25,0,26.29,20.43
154,0.08,0,26.33,2.69
151,0.25,0,26.29,20.21
