,distance,real,ambient,object
12,0.6,0,299.72,297.02
150,0.08,0,299.22,279.1
153,0.02,0,298.76,265.16
114,0.08,0,298.74,279.26
111,0.25,0,298.82,294.82
88,0.6,0,298.92,298.14
41,0.02,0,299.16,254.5
27,0.25,0,298.96,292.78
35,0.25,0,299,293.38
1,0.02,0,298.96,258.14
30,0.08,0,298.84,272.88
45,0.02,0,298.86,260.5
5,0.02,0,298.76,260.58
135,0.25,0,298.78,294.04
48,0.6,0,298.72,298.1
82,0.08,0,298.88,277.3
98,0.08,0,298.88,277.96
68,0.6,0,298.9,298.14
28,0.6,0,299,298.22
93,0.02,0,298.98,267.96
131,0.25,0,299,293.16
84,0.6,0,299.08,297.5
34,0.08,0,299.06,270.48
31,0.25,0,299.08,293.26
29,0.02,0,299.06,259.36
51,0.25,0,298.92,293.18
109,0.02,0,298.96,262.84
134,0.08,0,298.86,275.88
62,0.08,0,298.82,276.44
40,0.6,0,299.5,298.2
125,0.02,0,299.44,268.74
17,0.02,0,299.4,268.3
105,0.02,0,299.4,268.78
8,0.6,0,299.34,298.5
85,0.02,0,299.34,269.8
119,0.25,0,299.28,295.72
73,0.02,0,299.26,270.96
53,0.02,0,299.28,270.4
160,0.6,0,299.2,298.5
81,0.02,0,299.26,265.12
11,0.25,0,299.1,294.48
15,0.25,0,299.12,295.68
42,0.08,0,299.16,280.2
110,0.08,0,299.1,277.78
76,0.6,0,299.14,298.46
74,0.08,0,299.24,275.1
26,0.08,0,299.26,276.8
3,0.25,0,299.22,298.44
146,0.08,0,299.26,277.6
9,0.02,0,299.16,266.34
71,0.25,0,299.14,294.94
94,0.08,0,299.2,277.9
130,0.08,0,299.08,277.86
147,0.25,0,299.16,294.7
66,0.08,0,299.14,277.84
108,0.6,0,299.46,298.7
50,0.08,0,299.4,280.48
140,0.6,0,299.32,298.88
77,0.02,0,299.4,271.36
24,0.6,0,299.34,298.68
44,0.6,0,299.34,298.62
67,0.25,0,299.44,296.38
37,0.02,0,299.1,274.1
139,0.25,0,299.4,299
155,0.25,0,299.4,296.02
49,0.02,0,299.14,274.02
128,0.6,0,299.24,298.62
20,0.6,0,299.2,298.62
132,0.6,0,299.22,298.68
21,0.02,0,299.28,267.68
6,0.08,0,299.2,277.46
2,0.08,0,299.14,277.22
123,0.25,0,299.16,294.3
14,0.08,0,299.12,278.02
65,0.02,0,299.2,270.32
107,0.25,0,299.14,294.2
158,0.08,0,299.2,282.02
86,0.08,0,299.14,281.7
63,0.25,0,299.19,294.98
103,0.25,0,299.16,295
32,0.6,0,299.62,297.92
138,0.08,0,299.6,277.74
22,0.08,0,299.54,277.62
55,0.25,0,299.56,294.64
92,0.6,0,299.54,298.4
13,0.02,0,299.51,266.56
90,0.08,0,299.4,280.08
69,0.02,0,299.32,266.96
121,0.02,0,299.44,266.76
18,0.08,0,299.4,279.84
54,0.08,0,299.26,279.18
143,0.25,0,299.3,295.52
96,0.6,0,299.32,298.68
159,0.25,0,299.32,295.28
133,0.02,0,299.32,269.98
19,0.25,0,299.34,296.32
148,0.6,0,299.34,298.64
106,0.08,0,299.26,282.54
104,0.6,0,299.32,298.64
33,0.02,0,299.32,271.48
101,0.02,0,299.3,271.16
79,0.25,0,299.28,296.02
36,0.6,0,299.32,298.62
144,0.6,0,299.28,298.62
10,0.08,0,299.32,277.38
156,0.6,0,299.37,298.69
122,0.08,0,299.32,277.08
129,0.02,0,299.36,266.62
56,0.6,0,299.32,298.56
16,0.6,0,299.36,298.52
78,0.08,0,299.28,281.6
89,0.02,0,299.12,272.7
72,0.6,0,299.02,298
64,0.6,0,299.06,298.04
126,0.08,0,299.12,282.4
91,0.25,0,299.14,294.26
7,0.25,0,299.1,295.16
4,0.6,0,299.12,298.62
75,0.25,0,299.12,295.14
57,0.02,0,299.2,275.04
157,0.02,0,299.16,275.12
136,0.6,0,299.16,298.82
59,0.25,0,299.46,294.02
39,0.25,0,299.44,293.92
52,0.6,0,299.44,298.08
116,0.6,0,299.44,298.14
38,0.08,0,299.38,279.9
152,0.6,0,299.34,298.62
70,0.08,0,299.36,280.48
118,0.08,0,299.34,279.98
58,0.08,0,299.38,279.88
83,0.25,0,299.36,295.46
60,0.6,0,299.36,298.62
124,0.6,0,299.4,298.62
145,0.02,0,299.38,270.82
137,0.02,0,299.36,271.12
113,0.02,0,299.32,271.4
141,0.02,0,299.4,271.24
97,0.02,0,299.32,271.12
61,0.02,0,299.36,271.44
102,0.08,0,299.3,281.86
120,0.6,0,299.32,298.68
117,0.02,0,299.38,275.14
149,0.02,0,299.36,272.12
112,0.6,0,299.34,298.56
142,0.08,0,299.32,282.26
99,0.25,0,299.38,296.04
46,0.08,0,299.32,282.3
23,0.25,0,299.38,296.1
127,0.25,0,299.36,296.84
47,0.25,0,299.36,296.08
100,0.6,0,299.44,297.32
115,0.25,0,299.46,296.08
80,0.6,0,299.48,297.26
43,0.25,0,299.48,293.42
25,0.02,0,299.48,274.7
87,0.25,0,299.44,293.92
95,0.25,0,299.44,293.58
154,0.08,0,299.48,275.84
151,0.25,0,299.44,293.36
